Category,Attribute,Price,Currency,XCH_Equivalent,NFT_Edition,Trade_Date
"Face","Classic",4,"XCH",4.0000,3263,"2026-01-03"
"Mouth","Cig",4,"XCH",4.0000,3263,"2026-01-03"
"Face Wear","Night Vision",4,"XCH",4.0000,3263,"2026-01-03"
"Head","Crown",4,"XCH",4.0000,3263,"2026-01-03"
"Clothes","Leather Jacket",4,"XCH",4.0000,3263,"2026-01-03"
"Background","Tangerine Pop",4,"XCH",4.0000,3263,"2026-01-03"
"Base","Soyjak",1,"XCH",1.0000,2599,"2026-01-11"
"Face","Rekt",1,"XCH",1.0000,2599,"2026-01-11"
"Mouth","Joint",1,"XCH",1.0000,2599,"2026-01-11"
"Face Wear","3D Glasses",1,"XCH",1.0000,2599,"2026-01-11"
"Head","SWAT Helmet",1,"XCH",1.0000,2599,"2026-01-11"
"Clothes","Born to Ride",1,"XCH",1.0000,2599,"2026-01-11"
"Background","$HOA",1,"XCH",1.0000,2599,"2026-01-11"
"Base","Waifu",1,"XCH",1.0000,2913,"2025-12-30"
"Face","Classic",1,"XCH",1.0000,2913,"2025-12-30"
"Mouth","Sexy Lip Bite",1,"XCH",1.0000,2913,"2025-12-30"
"Face Wear","No Face Wear",1,"XCH",1.0000,2913,"2025-12-30"
"Head","Beer Hat",1,"XCH",1.0000,2913,"2025-12-30"
"Clothes","School Uniform",1,"XCH",1.0000,2913,"2025-12-30"
"Background","Sky Shock Blue",1,"XCH",1.0000,2913,"2025-12-30"
"Base","Soyjak",1,"XCH",1.0000,2269,"2025-12-30"
"Face","Rekt",1,"XCH",1.0000,2269,"2025-12-30"
"Mouth","Gold Teeth",1,"XCH",1.0000,2269,"2025-12-30"
"Face Wear","Aviators",1,"XCH",1.0000,2269,"2025-12-30"
"Head","Ronin Helmet",1,"XCH",1.0000,2269,"2025-12-30"
"Clothes","Firefighter Uniform",1,"XCH",1.0000,2269,"2025-12-30"
"Background","Ronin Dojo",1,"XCH",1.0000,2269,"2025-12-30"
"Base","Wojak",2,"XCH",2.0000,1109,"2025-12-30"
"Face","NPC",2,"XCH",2.0000,1109,"2025-12-30"
"Mouth","Numb",2,"XCH",2.0000,1109,"2025-12-30"
"Face Wear","Laser Eyes",2,"XCH",2.0000,1109,"2025-12-30"
"Head","Centurion",2,"XCH",2.0000,1109,"2025-12-30"
"Clothes","Roman Drip",2,"XCH",2.0000,1109,"2025-12-30"
"Background","Rome",2,"XCH",2.0000,1109,"2025-12-30"
"Base","Wojak",0.3,"XCH",0.3000,303,"2025-12-26"
"Face","Rugged",0.3,"XCH",0.3000,303,"2025-12-26"
"Mouth","Pipe",0.3,"XCH",0.3000,303,"2025-12-26"
"Face Wear","Matrix Lenses",0.3,"XCH",0.3000,303,"2025-12-26"
"Head","No Headgear",0.3,"XCH",0.3000,303,"2025-12-26"
"Clothes","Proof of Prayer",0.3,"XCH",0.3000,303,"2025-12-26"
"Background","Sky Dive",0.3,"XCH",0.3000,303,"2025-12-26"
"Base","Waifu",0.9,"XCH",0.9000,2822,"2025-12-26"
"Face","Terminator",0.9,"XCH",0.9000,2822,"2025-12-26"
"Mouth","Glossed Lips",0.9,"XCH",0.9000,2822,"2025-12-26"
"Face Wear","No Face Wear",0.9,"XCH",0.9000,2822,"2025-12-26"
"Head","No Headgear",0.9,"XCH",0.9000,2822,"2025-12-26"
"Clothes","Gopher Suit",0.9,"XCH",0.9000,2822,"2025-12-26"
"Background","Matrix",0.9,"XCH",0.9000,2822,"2025-12-26"
"Base","Soyjak",3,"XCH",3.0000,2030,"2025-12-26"
"Face","Bleeding Bags",3,"XCH",3.0000,2030,"2025-12-26"
"Mouth","Screaming",3,"XCH",3.0000,2030,"2025-12-26"
"Face Wear","Aviators",3,"XCH",3.0000,2030,"2025-12-26"
"Head","No Headgear",3,"XCH",3.0000,2030,"2025-12-26"
"Clothes","Pickle Suit",3,"XCH",3.0000,2030,"2025-12-26"
"Background","$HOA",3,"XCH",3.0000,2030,"2025-12-26"
"Base","Wojak",5555,"🪄⚡️",766.0345,1368,"2026-01-04"
"Face","Rekt",5555,"🪄⚡️",766.0345,1368,"2026-01-04"
"Mouth","Pizza",5555,"🪄⚡️",766.0345,1368,"2026-01-04"
"Face Wear","No Face Wear",5555,"🪄⚡️",766.0345,1368,"2026-01-04"
"Head","Comrade Hat",5555,"🪄⚡️",766.0345,1368,"2026-01-04"
"Clothes","Leather Jacket",5555,"🪄⚡️",766.0345,1368,"2026-01-04"
"Background","Price Up",5555,"🪄⚡️",766.0345,1368,"2026-01-04"
"Base","Wojak",5555,"🪄⚡️",766.0345,1714,"2025-12-26"
"Face","Rekt",5555,"🪄⚡️",766.0345,1714,"2025-12-26"
"Mouth","Teeth",5555,"🪄⚡️",766.0345,1714,"2025-12-26"
"Face Wear","No Face Wear",5555,"🪄⚡️",766.0345,1714,"2025-12-26"
"Head","Super Wojak Hat",5555,"🪄⚡️",766.0345,1714,"2025-12-26"
"Clothes","Sports Jacket",5555,"🪄⚡️",766.0345,1714,"2025-12-26"
"Background","NYSE Dump",5555,"🪄⚡️",766.0345,1714,"2025-12-26"
"Base","Baddie",10000,"🪄⚡️",1379.0000,3074,"2025-12-26"
"Face","Classic",10000,"🪄⚡️",1379.0000,3074,"2025-12-26"
"Mouth","Pipe",10000,"🪄⚡️",1379.0000,3074,"2025-12-26"
"Face Wear","Alpha Shades",10000,"🪄⚡️",1379.0000,3074,"2025-12-26"
"Head","Ponytail",10000,"🪄⚡️",1379.0000,3074,"2025-12-26"
"Clothes","Pepe Suit",10000,"🪄⚡️",1379.0000,3074,"2025-12-26"
"Background","Orange Grove",10000,"🪄⚡️",1379.0000,3074,"2025-12-26"
"Base","Wojak",10000,"🪄⚡️",1379.0000,495,"2026-01-04"
"Face","Rugged",10000,"🪄⚡️",1379.0000,495,"2026-01-04"
"Mouth","Stache",10000,"🪄⚡️",1379.0000,495,"2026-01-04"
"Face Wear","Alpha Shades",10000,"🪄⚡️",1379.0000,495,"2026-01-04"
"Head","Halo",10000,"🪄⚡️",1379.0000,495,"2026-01-04"
"Clothes","SWAT Gear",10000,"🪄⚡️",1379.0000,495,"2026-01-04"
"Background","Green Candle",10000,"🪄⚡️",1379.0000,495,"2026-01-04"
"Base","Soyjak",0.69,"XCH",0.6900,2566,"2025-12-30"
"Face","Rekt",0.69,"XCH",0.6900,2566,"2025-12-30"
"Mouth","Numb",0.69,"XCH",0.6900,2566,"2025-12-30"
"Face Wear","No Face Wear",0.69,"XCH",0.6900,2566,"2025-12-30"
"Head","Pirate Hat",0.69,"XCH",0.6900,2566,"2025-12-30"
"Clothes","Bepe Army",0.69,"XCH",0.6900,2566,"2025-12-30"
"Background","Pirate Ship",0.69,"XCH",0.6900,2566,"2025-12-30"
"Base","Wojak",0.3,"XCH",0.3000,525,"2025-12-25"
"Face","Rekt",0.3,"XCH",0.3000,525,"2025-12-25"
"Mouth","Numb",0.3,"XCH",0.3000,525,"2025-12-25"
"Face Wear","No Face Wear",0.3,"XCH",0.3000,525,"2025-12-25"
"Head","Firefighter Helmet",0.3,"XCH",0.3000,525,"2025-12-25"
"Clothes","Firefighter Uniform",0.3,"XCH",0.3000,525,"2025-12-25"
"Background","Everythings Fine",0.3,"XCH",0.3000,525,"2025-12-25"
"Base","Soyjak",0.4,"XCH",0.4000,2733,"2025-12-30"
"Face","Rekt",0.4,"XCH",0.4000,2733,"2025-12-30"
"Mouth","Screaming",0.4,"XCH",0.4000,2733,"2025-12-30"
"Face Wear","Matrix Lenses",0.4,"XCH",0.4000,2733,"2025-12-30"
"Head","Trump Wave",0.4,"XCH",0.4000,2733,"2025-12-30"
"Clothes","Super Saiyan Uniform",0.4,"XCH",0.4000,2733,"2025-12-30"
"Background","Sky Shock Blue",0.4,"XCH",0.4000,2733,"2025-12-30"
"Base","Wojak",0.3,"XCH",0.3000,292,"2025-12-25"
"Face","Rekt",0.3,"XCH",0.3000,292,"2025-12-25"
"Mouth","Gold Teeth",0.3,"XCH",0.3000,292,"2025-12-25"
"Face Wear","No Face Wear",0.3,"XCH",0.3000,292,"2025-12-25"
"Head","No Headgear",0.3,"XCH",0.3000,292,"2025-12-25"
"Clothes","Proof of Prayer",0.3,"XCH",0.3000,292,"2025-12-25"
"Background","Rome",0.3,"XCH",0.3000,292,"2025-12-25"
"Base","Wojak",0.7,"XCH",0.7000,208,"2025-12-25"
"Face","NPC",0.7,"XCH",0.7000,208,"2025-12-25"
"Mouth","Pipe",0.7,"XCH",0.7000,208,"2025-12-25"
"Face Wear","No Face Wear",0.7,"XCH",0.7000,208,"2025-12-25"
"Head","No Headgear",0.7,"XCH",0.7000,208,"2025-12-25"
"Clothes","Goose Suit",0.7,"XCH",0.7000,208,"2025-12-25"
"Background","Nesting Grounds",0.7,"XCH",0.7000,208,"2025-12-25"
"Base","Waifu",0.3,"XCH",0.3000,2906,"2025-12-24"
"Face","NPC",0.3,"XCH",0.3000,2906,"2025-12-24"
"Mouth","Cig",0.3,"XCH",0.3000,2906,"2025-12-24"
"Face Wear","No Face Wear",0.3,"XCH",0.3000,2906,"2025-12-24"
"Head","Military Beret",0.3,"XCH",0.3000,2906,"2025-12-24"
"Clothes","SWAT Gear",0.3,"XCH",0.3000,2906,"2025-12-24"
"Background","Chia Green",0.3,"XCH",0.3000,2906,"2025-12-24"
"Base","Wojak",0.3,"XCH",0.3000,644,"2025-12-24"
"Face","Rekt",0.3,"XCH",0.3000,644,"2025-12-24"
"Mouth","Numb",0.3,"XCH",0.3000,644,"2025-12-24"
"Face Wear","Alpha Shades",0.3,"XCH",0.3000,644,"2025-12-24"
"Head","No Headgear",0.3,"XCH",0.3000,644,"2025-12-24"
"Clothes","Bathrobe",0.3,"XCH",0.3000,644,"2025-12-24"
"Background","Green Candle",0.3,"XCH",0.3000,644,"2025-12-24"
"Base","Alien Wojak",3,"XCH",3.0000,3654,"2025-12-24"
"Face","Classic",3,"XCH",3.0000,3654,"2025-12-24"
"Mouth","Cohiba",3,"XCH",3.0000,3654,"2025-12-24"
"Face Wear","Cyber Shades",3,"XCH",3.0000,3654,"2025-12-24"
"Head","No Headgear",3,"XCH",3.0000,3654,"2025-12-24"
"Clothes","Bepe Suit",3,"XCH",3.0000,3654,"2025-12-24"
"Background","Moon",3,"XCH",3.0000,3654,"2025-12-24"
"Base","Bepe Waifu",6767,"🪄⚡️",933.1693,4145,"2025-12-26"
"Face","Classic",6767,"🪄⚡️",933.1693,4145,"2025-12-26"
"Mouth","Glossed Lips",6767,"🪄⚡️",933.1693,4145,"2025-12-26"
"Face Wear","Matrix Lenses",6767,"🪄⚡️",933.1693,4145,"2025-12-26"
"Head","Vixen Waves",6767,"🪄⚡️",933.1693,4145,"2025-12-26"
"Clothes","School Uniform",6767,"🪄⚡️",933.1693,4145,"2025-12-26"
"Background","$BEPE",6767,"🪄⚡️",933.1693,4145,"2025-12-26"
"Base","Bepe Wojak",6767,"🪄⚡️",933.1693,3901,"2025-12-26"
"Face","Bleeding Bags",6767,"🪄⚡️",933.1693,3901,"2025-12-26"
"Mouth","Screaming",6767,"🪄⚡️",933.1693,3901,"2025-12-26"
"Face Wear","No Face Wear",6767,"🪄⚡️",933.1693,3901,"2025-12-26"
"Head","No Headgear",6767,"🪄⚡️",933.1693,3901,"2025-12-26"
"Clothes","Astronaut",6767,"🪄⚡️",933.1693,3901,"2025-12-26"
"Background","Moon",6767,"🪄⚡️",933.1693,3901,"2025-12-26"
"Base","Waifu",4269,"🪄⚡️",588.6951,2768,"2025-12-26"
"Face","Classic",4269,"🪄⚡️",588.6951,2768,"2025-12-26"
"Mouth","Cig",4269,"🪄⚡️",588.6951,2768,"2025-12-26"
"Face Wear","Matrix Lenses",4269,"🪄⚡️",588.6951,2768,"2025-12-26"
"Head","Military Beret",4269,"🪄⚡️",588.6951,2768,"2025-12-26"
"Clothes","Born to Ride",4269,"🪄⚡️",588.6951,2768,"2025-12-26"
"Background","Mellow Yellow",4269,"🪄⚡️",588.6951,2768,"2025-12-26"
"Base","Bepe Soyjak",0.69,"XCH",0.6900,4064,"2025-12-24"
"Face","Classic",0.69,"XCH",0.6900,4064,"2025-12-24"
"Mouth","Stunned",0.69,"XCH",0.6900,4064,"2025-12-24"
"Face Wear","Ninja Turtle Mask",0.69,"XCH",0.6900,4064,"2025-12-24"
"Head","Propeller Hat",0.69,"XCH",0.6900,4064,"2025-12-24"
"Clothes","Ninja Turtle Fit",0.69,"XCH",0.6900,4064,"2025-12-24"
"Background","Morning Routine",0.69,"XCH",0.6900,4064,"2025-12-24"
"Base","Wojak",2,"XCH",2.0000,1671,"2026-01-04"
"Face","Classic",2,"XCH",2.0000,1671,"2026-01-04"
"Mouth","Gold Teeth",2,"XCH",2.0000,1671,"2026-01-04"
"Face Wear","Matrix Lenses",2,"XCH",2.0000,1671,"2026-01-04"
"Head","Devil Horns",2,"XCH",2.0000,1671,"2026-01-04"
"Clothes","Sports Jacket",2,"XCH",2.0000,1671,"2026-01-04"
"Background","Hell",2,"XCH",2.0000,1671,"2026-01-04"
"Base","Baddie",2,"XCH",2.0000,3164,"2026-01-07"
"Face","Classic",2,"XCH",2.0000,3164,"2026-01-07"
"Mouth","Pizza",2,"XCH",2.0000,3164,"2026-01-07"
"Face Wear","Alpha Shades",2,"XCH",2.0000,3164,"2026-01-07"
"Head","Fedora",2,"XCH",2.0000,3164,"2026-01-07"
"Clothes","Suit",2,"XCH",2.0000,3164,"2026-01-07"
"Background","$PIZZA",2,"XCH",2.0000,3164,"2026-01-07"
"Base","Alien Baddie",0.825,"XCH",0.8250,3888,"2025-12-24"
"Face","Bleeding Bags",0.825,"XCH",0.8250,3888,"2025-12-24"
"Mouth","Screaming",0.825,"XCH",0.8250,3888,"2025-12-24"
"Face Wear","No Face Wear",0.825,"XCH",0.8250,3888,"2025-12-24"
"Head","Beanie",0.825,"XCH",0.8250,3888,"2025-12-24"
"Clothes","Vintage Dress",0.825,"XCH",0.8250,3888,"2025-12-24"
"Background","Silicon Data Center",0.825,"XCH",0.8250,3888,"2025-12-24"
"Base","Wojak",0.7,"XCH",0.7000,1602,"2025-12-23"
"Face","Rugged",0.7,"XCH",0.7000,1602,"2025-12-23"
"Mouth","Bandana Mask",0.7,"XCH",0.7000,1602,"2025-12-23"
"Face Wear","No Face Wear",0.7,"XCH",0.7000,1602,"2025-12-23"
"Head","Super Saiyan",0.7,"XCH",0.7000,1602,"2025-12-23"
"Clothes","Topless",0.7,"XCH",0.7000,1602,"2025-12-23"
"Background","$LOVE",0.7,"XCH",0.7000,1602,"2025-12-23"
"Base","Alien Waifu",0.825,"XCH",0.8250,3862,"2025-12-24"
"Face","Rugged",0.825,"XCH",0.8250,3862,"2025-12-24"
"Mouth","Sexy Lip Bite",0.825,"XCH",0.8250,3862,"2025-12-24"
"Face Wear","No Face Wear",0.825,"XCH",0.8250,3862,"2025-12-24"
"Head","Cowboy Hat",0.825,"XCH",0.8250,3862,"2025-12-24"
"Clothes","Leather Jacket",0.825,"XCH",0.8250,3862,"2025-12-24"
"Background","One Market",0.825,"XCH",0.8250,3862,"2025-12-24"
"Base","Bepe Wojak",1,"XCH",1.0000,3947,"2025-12-24"
"Face","Classic",1,"XCH",1.0000,3947,"2025-12-24"
"Mouth","Bubble Gum",1,"XCH",1.0000,3947,"2025-12-24"
"Face Wear","3D Glasses",1,"XCH",1.0000,3947,"2025-12-24"
"Head","No Headgear",1,"XCH",1.0000,3947,"2025-12-24"
"Clothes","Gopher Suit",1,"XCH",1.0000,3947,"2025-12-24"
"Background","$LOVE",1,"XCH",1.0000,3947,"2025-12-24"
"Base","Soyjak",0.4,"XCH",0.4000,2632,"2025-12-30"
"Face","NPC",0.4,"XCH",0.4000,2632,"2025-12-30"
"Mouth","Stunned",0.4,"XCH",0.4000,2632,"2025-12-30"
"Face Wear","No Face Wear",0.4,"XCH",0.4000,2632,"2025-12-30"
"Head","Cowboy Hat",0.4,"XCH",0.4000,2632,"2025-12-30"
"Clothes","Roman Drip",0.4,"XCH",0.4000,2632,"2025-12-30"
"Background","Mellow Yellow",0.4,"XCH",0.4000,2632,"2025-12-30"
"Base","Soyjak",0.4,"XCH",0.4000,2445,"2025-12-30"
"Face","Classic",0.4,"XCH",0.4000,2445,"2025-12-30"
"Mouth","Gold Teeth",0.4,"XCH",0.4000,2445,"2025-12-30"
"Face Wear","Shades",0.4,"XCH",0.4000,2445,"2025-12-30"
"Head","Centurion",0.4,"XCH",0.4000,2445,"2025-12-30"
"Clothes","Tee",0.4,"XCH",0.4000,2445,"2025-12-30"
"Background","Chia Green",0.4,"XCH",0.4000,2445,"2025-12-30"
"Base","Wojak",0.5,"XCH",0.5000,859,"2025-12-26"
"Face","Rugged",0.5,"XCH",0.5000,859,"2025-12-26"
"Mouth","Smile",0.5,"XCH",0.5000,859,"2025-12-26"
"Face Wear","Ninja Turtle Mask",0.5,"XCH",0.5000,859,"2025-12-26"
"Head","Ronin Helmet",0.5,"XCH",0.5000,859,"2025-12-26"
"Clothes","Ronin",0.5,"XCH",0.5000,859,"2025-12-26"
"Background","Mellow Yellow",0.5,"XCH",0.5000,859,"2025-12-26"
"Base","Papa Tang",0.6,"XCH",0.6000,3349,"2025-12-23"
"Face","Bleeding Bags",0.6,"XCH",0.6000,3349,"2025-12-23"
"Mouth","Gold Teeth",0.6,"XCH",0.6000,3349,"2025-12-23"
"Face Wear","No Face Wear",0.6,"XCH",0.6000,3349,"2025-12-23"
"Head","Cap",0.6,"XCH",0.6000,3349,"2025-12-23"
"Clothes","Suit",0.6,"XCH",0.6000,3349,"2025-12-23"
"Background","Chia Green",0.6,"XCH",0.6000,3349,"2025-12-23"
"Base","Wojak",0.6,"XCH",0.6000,879,"2025-12-23"
"Face","Terminator",0.6,"XCH",0.6000,879,"2025-12-23"
"Mouth","Copium Mask",0.6,"XCH",0.6000,879,"2025-12-23"
"Face Wear","Alpha Shades",0.6,"XCH",0.6000,879,"2025-12-23"
"Head","Super Wojak Hat",0.6,"XCH",0.6000,879,"2025-12-23"
"Clothes","Ronin",0.6,"XCH",0.6000,879,"2025-12-23"
"Background","$BEPE",0.6,"XCH",0.6000,879,"2025-12-23"
"Base","Wojak",0.6,"XCH",0.6000,1963,"2025-12-23"
"Face","Bleeding Bags",0.6,"XCH",0.6000,1963,"2025-12-23"
"Mouth","Cohiba",0.6,"XCH",0.6000,1963,"2025-12-23"
"Face Wear","No Face Wear",0.6,"XCH",0.6000,1963,"2025-12-23"
"Head","Super Wojak Hat",0.6,"XCH",0.6000,1963,"2025-12-23"
"Clothes","Suit",0.6,"XCH",0.6000,1963,"2025-12-23"
"Background","Radioactive Forest",0.6,"XCH",0.6000,1963,"2025-12-23"
"Base","Wojak",0.7,"XCH",0.7000,1129,"2025-12-24"
"Face","Classic",0.7,"XCH",0.7000,1129,"2025-12-24"
"Mouth","Hannibal Mask",0.7,"XCH",0.7000,1129,"2025-12-24"
"Face Wear","3D Glasses",0.7,"XCH",0.7000,1129,"2025-12-24"
"Head","Field Cap",0.7,"XCH",0.7000,1129,"2025-12-24"
"Clothes","Bepe Army",0.7,"XCH",0.7000,1129,"2025-12-24"
"Background","Sky Shock Blue",0.7,"XCH",0.7000,1129,"2025-12-24"
"Base","Waifu",0.7,"XCH",0.7000,2798,"2025-12-23"
"Face","Rekt",0.7,"XCH",0.7000,2798,"2025-12-23"
"Mouth","Teeth",0.7,"XCH",0.7000,2798,"2025-12-23"
"Face Wear","No Face Wear",0.7,"XCH",0.7000,2798,"2025-12-23"
"Head","Cap",0.7,"XCH",0.7000,2798,"2025-12-23"
"Clothes","Denim Vest",0.7,"XCH",0.7000,2798,"2025-12-23"
"Background","$CHIA",0.7,"XCH",0.7000,2798,"2025-12-23"
"Base","Wojak",150,"$CHIA",0.5850,1229,"2025-12-26"
"Face","Classic",150,"$CHIA",0.5850,1229,"2025-12-26"
"Mouth","Neckbeard",150,"$CHIA",0.5850,1229,"2025-12-26"
"Face Wear","Eye Patch",150,"$CHIA",0.5850,1229,"2025-12-26"
"Head","Construction Helmet",150,"$CHIA",0.5850,1229,"2025-12-26"
"Clothes","Born to Ride",150,"$CHIA",0.5850,1229,"2025-12-26"
"Background","Price Up",150,"$CHIA",0.5850,1229,"2025-12-26"
"Base","Wojak",500000,"🍕",1500.0000,994,"2025-12-26"
"Face","Rekt",500000,"🍕",1500.0000,994,"2025-12-26"
"Mouth","Cig",500000,"🍕",1500.0000,994,"2025-12-26"
"Face Wear","Aviators",500000,"🍕",1500.0000,994,"2025-12-26"
"Head","Hard Hat",500000,"🍕",1500.0000,994,"2025-12-26"
"Clothes","Ninja Turtle Fit",500000,"🍕",1500.0000,994,"2025-12-26"
"Background","$PIZZA",500000,"🍕",1500.0000,994,"2025-12-26"
"Base","Wojak",25000,"JOCK",432.5000,826,"2025-12-30"
"Face","Classic",25000,"JOCK",432.5000,826,"2025-12-30"
"Mouth","Bandana Mask",25000,"JOCK",432.5000,826,"2025-12-30"
"Face Wear","Eye Patch",25000,"JOCK",432.5000,826,"2025-12-30"
"Head","Propeller Hat",25000,"JOCK",432.5000,826,"2025-12-30"
"Clothes","Ronin",25000,"JOCK",432.5000,826,"2025-12-30"
"Background","Radioactive Forest",25000,"JOCK",432.5000,826,"2025-12-30"
"Base","Wojak",0.33,"✨❤️‍🔥🧙‍♂️",0.9649,1828,"2025-12-26"
"Face","Rugged",0.33,"✨❤️‍🔥🧙‍♂️",0.9649,1828,"2025-12-26"
"Mouth","Screaming",0.33,"✨❤️‍🔥🧙‍♂️",0.9649,1828,"2025-12-26"
"Face Wear","Night Vision",0.33,"✨❤️‍🔥🧙‍♂️",0.9649,1828,"2025-12-26"
"Head","Wizard Hat",0.33,"✨❤️‍🔥🧙‍♂️",0.9649,1828,"2025-12-26"
"Clothes","Wizard Drip",0.33,"✨❤️‍🔥🧙‍♂️",0.9649,1828,"2025-12-26"
"Background","Mellow Yellow",0.33,"✨❤️‍🔥🧙‍♂️",0.9649,1828,"2025-12-26"
"Base","Waifu",0.6,"XCH",0.6000,2760,"2025-12-23"
"Face","Classic",0.6,"XCH",0.6000,2760,"2025-12-23"
"Mouth","Smile",0.6,"XCH",0.6000,2760,"2025-12-23"
"Face Wear","Aviators",0.6,"XCH",0.6000,2760,"2025-12-23"
"Head","No Headgear",0.6,"XCH",0.6000,2760,"2025-12-23"
"Clothes","Bepe Suit",0.6,"XCH",0.6000,2760,"2025-12-23"
"Background","$CHIA",0.6,"XCH",0.6000,2760,"2025-12-23"
"Base","Soyjak",0.55,"XCH",0.5500,2012,"2025-12-23"
"Face","Rugged",0.55,"XCH",0.5500,2012,"2025-12-23"
"Mouth","Vampire Teeth",0.55,"XCH",0.5500,2012,"2025-12-23"
"Face Wear","No Face Wear",0.55,"XCH",0.5500,2012,"2025-12-23"
"Head","No Headgear",0.55,"XCH",0.5500,2012,"2025-12-23"
"Clothes","Astronaut",0.55,"XCH",0.5500,2012,"2025-12-23"
"Background","Moon",0.55,"XCH",0.5500,2012,"2025-12-23"
"Base","Soyjak",1,"XCH",1.0000,2074,"2025-12-26"
"Face","Terminator",1,"XCH",1.0000,2074,"2025-12-26"
"Mouth","Smile",1,"XCH",1.0000,2074,"2025-12-26"
"Face Wear","No Face Wear",1,"XCH",1.0000,2074,"2025-12-26"
"Head","No Headgear",1,"XCH",1.0000,2074,"2025-12-26"
"Clothes","Goose Suit",1,"XCH",1.0000,2074,"2025-12-26"
"Background","Tangerine Pop",1,"XCH",1.0000,2074,"2025-12-26"
"Base","Monkey Zoo",1,"XCH",1.0000,3504,"2026-01-04"
"Face","Terminator",1,"XCH",1.0000,3504,"2026-01-04"
"Mouth","Numb",1,"XCH",1.0000,3504,"2026-01-04"
"Face Wear","No Face Wear",1,"XCH",1.0000,3504,"2026-01-04"
"Head","SWAT Helmet",1,"XCH",1.0000,3504,"2026-01-04"
"Clothes","Chia Farmer",1,"XCH",1.0000,3504,"2026-01-04"
"Background","Neo Mint",1,"XCH",1.0000,3504,"2026-01-04"
"Base","Wojak",1,"XCH",1.0000,1682,"2025-12-23"
"Face","Classic",1,"XCH",1.0000,1682,"2025-12-23"
"Mouth","Pipe",1,"XCH",1.0000,1682,"2025-12-23"
"Face Wear","Shades",1,"XCH",1.0000,1682,"2025-12-23"
"Head","Spikes",1,"XCH",1.0000,1682,"2025-12-23"
"Clothes","Sports Jacket",1,"XCH",1.0000,1682,"2025-12-23"
"Background","Sky Dive",1,"XCH",1.0000,1682,"2025-12-23"
"Base","Monkey Zoo",0.6,"XCH",0.6000,3529,"2025-12-23"
"Face","Rekt",0.6,"XCH",0.6000,3529,"2025-12-23"
"Mouth","Cig",0.6,"XCH",0.6000,3529,"2025-12-23"
"Face Wear","No Face Wear",0.6,"XCH",0.6000,3529,"2025-12-23"
"Head","No Headgear",0.6,"XCH",0.6000,3529,"2025-12-23"
"Clothes","Proof of Prayer",0.6,"XCH",0.6000,3529,"2025-12-23"
"Background","$HONK",0.6,"XCH",0.6000,3529,"2025-12-23"
"Base","Wojak",0.82,"XCH",0.8200,636,"2025-12-22"
"Face","Classic",0.82,"XCH",0.8200,636,"2025-12-22"
"Mouth","Teeth",0.82,"XCH",0.8200,636,"2025-12-22"
"Face Wear","3D Glasses",0.82,"XCH",0.8200,636,"2025-12-22"
"Head","Super Saiyan",0.82,"XCH",0.8200,636,"2025-12-22"
"Clothes","Bathrobe",0.82,"XCH",0.8200,636,"2025-12-22"
"Background","Tangerine Pop",0.82,"XCH",0.8200,636,"2025-12-22"
"Base","Wojak",2,"XCH",2.0000,386,"2025-12-25"
"Face","NPC",2,"XCH",2.0000,386,"2025-12-25"
"Mouth","Joint",2,"XCH",2.0000,386,"2025-12-25"
"Face Wear","Laser Eyes",2,"XCH",2.0000,386,"2025-12-25"
"Head","Crown",2,"XCH",2.0000,386,"2025-12-25"
"Clothes","Straitjacket",2,"XCH",2.0000,386,"2025-12-25"
"Background","Sky Dive",2,"XCH",2.0000,386,"2025-12-25"
"Base","Wojak",0.82,"XCH",0.8200,1619,"2025-12-26"
"Face","Bleeding Bags",0.82,"XCH",0.8200,1619,"2025-12-26"
"Mouth","Cohiba",0.82,"XCH",0.8200,1619,"2025-12-26"
"Face Wear","MOG Glasses",0.82,"XCH",0.8200,1619,"2025-12-26"
"Head","Beer Hat",0.82,"XCH",0.8200,1619,"2025-12-26"
"Clothes","Topless",0.82,"XCH",0.8200,1619,"2025-12-26"
"Background","Sky Dive",0.82,"XCH",0.8200,1619,"2025-12-26"
"Base","Alien Wojak",0.825,"XCH",0.8250,3705,"2025-12-22"
"Face","Rekt",0.825,"XCH",0.8250,3705,"2025-12-22"
"Mouth","Cohiba",0.825,"XCH",0.8250,3705,"2025-12-22"
"Face Wear","Aviators",0.825,"XCH",0.8250,3705,"2025-12-22"
"Head","Piccolo Turban",0.825,"XCH",0.8250,3705,"2025-12-22"
"Clothes","Piccolo Uniform",0.825,"XCH",0.8250,3705,"2025-12-22"
"Background","Moon",0.825,"XCH",0.8250,3705,"2025-12-22"
"Base","Bepe Soyjak",0.825,"XCH",0.8250,4046,"2025-12-23"
"Face","Terminator",0.825,"XCH",0.8250,4046,"2025-12-23"
"Mouth","Teeth",0.825,"XCH",0.8250,4046,"2025-12-23"
"Face Wear","Laser Eyes",0.825,"XCH",0.8250,4046,"2025-12-23"
"Head","Fedora",0.825,"XCH",0.8250,4046,"2025-12-23"
"Clothes","El Presidente",0.825,"XCH",0.8250,4046,"2025-12-23"
"Background","Bepe Barracks",0.825,"XCH",0.8250,4046,"2025-12-23"
"Base","Monkey Zoo",0.825,"XCH",0.8250,3481,"2025-12-23"
"Face","Classic",0.825,"XCH",0.8250,3481,"2025-12-23"
"Mouth","Numb",0.825,"XCH",0.8250,3481,"2025-12-23"
